A.E. Phillips Laboratory School,NA
Acadia Parish,http://www.acadia.k12.la.us/
Acadiana Renaissance Charter Academy,NA
Allen Parish,http://www.allen.k12.la.us/
Appex Collegiate Academy Charter School,NA
Ascension Parish School District,http://www.ascension.k12.la.us/
Assumption Parish,http://www.assumption.k12.la.us/
Avoyelles Parish,http://www.avoyellespsb.com/
Avoyelles Public Charter School,NA
Beauregard Parish School District,http://www.beau.k12.la.us/
"Belle Chasse Academy, Inc.",NA
Bienville Parish School District,http://bienville.nls.k12.la.us/
Bossier Parish School District,http://www.bossierschools.org/
Caddo Parish School District,http://www.caddo.k12.la.us/
Calcasieu Parish School District,http://www.cpsb.org/
Caldwell Parish School District,http://caldwell.nls.k12.la.us/
Cameron Parish School District,http://www.cameron.k12.la.us/
Catahoula Parish School District,http://catahoula.nls.k12.la.us/
Central Community School District,NA
Chitimacha Tribal School,http://chitimacha.gov
City Of Baker School District,http://bakerschools.org/main.cfm
City Of Bogalusa School District,http://www.bogalusaschools.org/
City Of Monroe School District,http://www.monroe.k12.la.us/mcs/
Claiborne Parish School District,http://claiborneschools.com/
"Community School For Apprenticeship Learning, Inc.",NA
Concordia Parish School District,http://bb.a2kla.org/webapps/portal/frameset.jsp
D'arbonne Woods Charter School,NA
Delhi Charter School,NA
Delta Charter Group,NA
Desoto Parish School District,http://www.desotopsb.com
East Baton Rouge Parish School District,http://www.ebrschools.org/
East Carroll Parish School District,http://www.e-carrollschools.org/
East Feliciana Parish School District,http://www.efpsb.k12.la.us/index.html
Evangeline Parish School District,http://www.epsb.com/
FirstLine Schools,http://www.firstlineschools.org
Franklin Parish School District,http://www.franklin.k12.la.us/
Geo Prep Academy Of Greater Baton Rouge,NA
Grambling State Lab Schools,NA
Grant Parish School District,http://www.gpsb.org/
Greater Grace Charter Academy Inc.,NA
Howard School,NA
Iberia Parish School District,http://www.iberia.k12.la.us/
Iberville Parish School District,http://www.ipsb.net/
Impact Charter Elementary,NA
International School Of Louisiana,http://www.isl-edu.org
Jackson Parish School District,http://jacksonparishschoolboard.com/
JCFA-East,NA
Jefferson Chamber Foundation Academy,NA
Jefferson Davis Parish School District,http://webserver.jeffersondavis.org/
Jefferson Parish School District,http://www.jppss.k12.la.us/
Js Clark Leadership Academy,NA
La Schools For The Deaf And Visually Impaired,http://www.lalsd.org
Lafayette Charter Foundation,NA
Lafayette Parish School District,http://www.lft.k12.la.us/site.php
Lafourche Parish School District,http://lafourche.k12.la.us/
"Lake Charles Charter Academy Foundation, Inc.",NA
Lasalle Parish School District,http://www.lasallepsb.com/
Laurel Oaks Charter School,NA
"Learning Solutions, Inc.",NA
Lincoln Parish School District,http://www.lincolnschools.org/about.html
Lincoln Preparatory School,NA
Livingston Parish School District,http://www.lpsb.org/
"Louisiana Achievement Charter Academies, Inc.",NA
Louisiana Connections Academy,NA
Louisiana Key Academy,NA
Louisiana School For Math Science & The Arts,http://www.lsmsa.edu/
Louisiana Special Education Center,NA
Louisiana Virtual Charter Academy,NA
Lsu Laboratory School,NA
Lycee Francais De La Nouvelle-Orleans,NA
Madison Parish School District,NA
Madison-Tallulah Education Center,NA
Milestone Academy,NA
Morehouse Parish School District,http://www.mpsb.us.
Natchitoches Parish School District,http://www.nat.k12.la.us/
New Orleans Center For Creative Arts,http://www.nocca.com
New Orleans Military Maritime Academy,NA
New Vision Learning Academy,NA
Northeast Claiborne Charter,NA
"Northshore Charter School, Inc.",NA
Orleans Parish School District,http://www.nops.k12.la.us/
Ouachita Parish School District,http://www.opsb.net/
Plaquemines Parish School District,http://www.ppsb.org/
Pointe Coupee Parish School District,http://pointe.la.schoolwebpages.com/education/district/district.php?sectionid=1
Rapides Parish School District,http://www.rapides.k12.la.us/
Red River Parish School District,http://www.desoto.k12.la.us/
Richland Parish School District,http://richland.k12.la.us/
Rsd-Akili Academy Of New Orleans,NA
RSD-Algiers Charter Schools Association (ACSA),http://www.algierscharterschools.org
Rsd-Arise Academy,NA
RSD-Baton Rouge University Preparatory School Inc.,NA
Rsd-Better Choice Foundation,NA
"RSD-Celerity Schools Louisiana, Inc.",NA
RSD-Choice Foundation,NA
Rsd-Collegiate Academies,NA
