Acadia Academy,http://www.acadiaacademy.org
Acton Public Schools,http://www.actonschool.org
Airline Community School District,http://www.airlineschool.org
Alexander Public Schools,NA
Alton School Department,NA
Andover Public Schools,http://www.andoverschoolmaine.org
Appleton Public Schools,http://www.fivetowns.net/union/
Arundel School Department,NA
Athens Public Schools,http://www.aos94.org
Auburn Public Schools,http://www.auburnschl.edu/default.html
Augusta Public Schools,http://www.augustaschools.org
Baileyville Public Schools,http://www.aos90.org
Bangor Public Schools,http://www.bangorschools.net
Bangor-Region 4,http://www.utc4me.org/
Bar Harbor Public Schools,http://www.mdirss.org/
Bath School Department,NA
Baxter Academy For Technology And Science,http://www.baxter-academy.org
Beals Public Schools,http://www.union103.org
Beatrice Rafferty School,http://www.beatricerafferty.com/
Biddeford Public Schools,http://www.biddefordschooldepartment.org
Blue Hill Public Schools,http://www.schoolunion93.org
Boothbay-Boothbay Hbr Community School District,http://aos98schools.org
Bradley School Department,NA
Brewer Public Schools,http://www.breweredu.org
Bristol Public Schools,http://www.aos93.org
Brooklin Public Schools,http://google.com/site/union76superintendentsoffice/
Brooksville Public Schools,http://htpp://www.schoolunion93.org
Brunswick Public Schools,http://www.brunswick.k12.me.us
Brunswick-Region 10,http://www.r10tech.org/
Calais Public Schools,NA
Cape Elizabeth Public Schools,http://www.cape.k12.me.us/
Caribou School Department,NA
Castine Public Schools,http://www.schoolunion93.org
Caswell Public Schools,http://www.caswellme.org
Charlotte Public Schools,http://www.charlotte.u104.k12.me.us/
Chebeague Island Public Schools,http://www.chebeague.org/cis
Chelsea School Department,NA
Cherryfield Public Schools,NA
China School Department,NA
Cornville Regional Charter School,http://cornvilleregionalcharterschool.org/
Cranberry Isles Public Schools,http://www.mdirss.org/
Cutler Public Schools,NA
Dayton Public Schools,http://www.daytonschooldept.org
Dedham Public Schools,http://www.aos47.org
Deer Isle-Stonington Community School District,http://www.google.com/site/union76superintendentsoffice/
Dresden School Department,NA
Durham School Department,NA
East Machias Public Schools,NA
East Millinocket Public Schools,http://www.schenckhs.org/
East Range Community School District,http://eastrangeii.wordpress.com/
Easton Public Schools,http://www.eastonschools.org
Eastport Public Schools,NA
Edgecomb Public Schools,http://aos98schools.org
Education In Unorganized Terr,NA
Ellsworth Public Schools,http://www.ellsworthschools.org
Eustis Public Schools,http://stratton.msad58.org/stratton/Stratton_Elementary_School/Welcome.html
Falmouth Public Schools,http://www.falmouthschools.org/
Fayette Public Schools,http://fayette.maranacook.org
Fiddlehead School Of Arts And Sciences,http://www.fiddleheadschool.org
Five Town Community School District,http://www.fivetowns.net
Flanders Bay Central School District,NA
Freeport School Department,NA
Frenchboro Public Schools,http://www.mdirss.org/
Georgetown Public Schools,http://www.aos98schools.org/
Glenburn Public Schools,http://www.glenburnschool.us
Gorham Public Schools,http://www.gorhamschools.org
Great Salt Bay Community School District,http://www.aos93.org
Greenbush Public Schools,http://hsdgreenbush.org/
Greenville Public Schools,http://www.ghslakers.org
Hancock Public Schools,NA
Harmony Public Schools,http://www.aos94.org
Harpswell Coastal Academy,http://www.harpswellcoastalacademy.org
Hermon Public Schools,http://www.hermon.net
Hope Public Schools,http://www.fivetowns.net/union/
Houlton-Region 2,http://www.regiontwo.mainecte.org
Indian Island School,http://www.iis.bie.edu
Indian Township School,NA
Isle Au Haut Public Schools,NA
Islesboro Public Schools,http://ics.islesboro.k12.me.us
Jay School Department,NA
Jefferson Public Schools,http://www.aos93.org
Jonesboro Public Schools,NA
Jonesport Public Schools,http://www.union103.org
Kittery Public Schools,http://www.kitteryschools.com
Lamoine Public Schools,NA
Lewiston Public Schools,http://www.lewistonpublicschools.org/
Limestone School Department,NA
Lincoln-Region 3,http://region3.rainstormstaging.com
Lincolnville Public Schools,http://www.fivetowns.net/union/
Lisbon Public Schools,http://www.lisbonschooldept.org
Litchfield School Department,NA
Long Island Public Schools,http://school.long-island.lib.me.us/
Machias Public Schools,NA
Machiasport Public Schools,NA
Madawaska Public Schools,http://www.madawaskaschools.org/index.cfm
Maine Academy Of Natural Sciences,http://www.means-gwh.org/
Maine Area School District 05,NA
Maine Area School District 16,NA
Maine Area School District 21,NA
Maine Area School District 26,NA
Maine Area School District 38,NA
Maine Area School District 39,NA
Maine Area School District 43,NA
Maine Area School District 47,NA
Maine Area School District 48,NA
Maine Area School District 50,NA
Maine Area School District 56,NA
Maine Area School District 62,NA
Maine Area School District 67,NA
Maine Area School District 71,NA
Maine Connections Academy,http://www.maineconnectionsacademy.com
Maine Virtual Academy,http://MaineVirtual.org
Manchester School Department,NA
Maranacook Central School District,NA
Me Educational Center For The Deaf & Hard Of Hearing,NA
Me Sch Of Science & Mathematics,http://www.mssm.org
Mechanic Falls School Department,NA
Medway Public Schools,http://www.medwayms.org
Milford Public Schools,http://www.lewislibbyschool.org
Millinocket Public Schools,http://www.millinocketschools.org/
Minot School Department,NA
Monhegan Plt School Dept,NA
Monmouth School Department,NA
Moosabec Community School District,http://www.union103.org
Mount Desert Public Schools,http://www.mdirss.org/
Mount Vernon School Department,NA
Msad 27,http://www.sad27.org
Msad 46,http://www.aos94.org
Msad 76,http://www.mdirss.org/
Mt Desert Community School District,http://www.mdirss.org/
New Sweden Public Schools,http://www.schoolunion122.net
Nobleboro Public Schools,http://www.aos93.org
Northport Public Schools,http://www.drinkwaterschool.org/
Oak Hill Central School District,NA
Old Orchard Beach School Department,NA
Old Town School Department,NA
Orland School Department,NA
Orono School Department,NA
Orrington Public Schools,http://www.cdsedu.org
Otis Public Schools,http://www.beechhillschool.org
Oxford-Region 11,http://www.ohts.net
Palermo School Department,NA
Pembroke Public Schools,http://www.u104.pembroke.me.us
Peninsula Central School District,NA
Penobscot Public Schools,http://www.schoolunion93.org
Perry Public Schools,http://www.perryelementary.org
Poland School Department,NA
Portland Public Schools,http://www.portlandschools.org/
Princeton Public Schools,http://www.aos90.org
Rangeley School Department,NA
