"","State","PCT Missing URL","N missing","N total","PCT Links Found","N found"
"1","Alabama",0.152866242038217,24,157,0.847133757961783,133
"2","Alaska",0,0,54,1,54
"3","Arizona",0.423023578363384,305,721,0.576976421636616,416
"4","Arkansas",0.0481099656357388,14,291,0.951890034364261,277
"5","California",0.194165907019143,213,1097,0.805834092980857,884
"6","Colorado",0.146739130434783,27,184,0.853260869565217,157
"7","Connecticut",0.2,41,205,0.8,164
"8","Delaware",0.0638297872340425,3,47,0.936170212765957,44
"9","Florida",0,0,75,1,75
"10","Georgia",0.0721153846153846,15,208,0.927884615384615,193
"11","Hawaii",0,0,1,1,1
"12","Idaho",0.89937106918239,143,159,0.10062893081761,16
"13","Illinois",0.772821576763486,745,964,0.227178423236514,219
"14","Indiana",0.00495049504950495,2,404,0.995049504950495,402
"15","Iowa",0.0353982300884956,12,339,0.964601769911504,327
"16","Kansas",0.0274914089347079,8,291,0.972508591065292,283
"17","Kentucky",0.937853107344633,166,177,0.0621468926553672,11
"18","Louisiana",0.493150684931507,72,146,0.506849315068493,74
"19","Maine",0.280898876404494,75,267,0.719101123595506,192
"20","Maryland",0,0,26,1,26
"21","Massachusetts",0.0222772277227723,9,404,0.977722772277228,395
"22","Michigan",0.072142064372919,65,901,0.927857935627081,836
"23","Minnesota",0.0899280575539568,50,556,0.910071942446043,506
"24","Mississippi",0.0532544378698225,9,169,0.946745562130177,160
"25","Missouri",0.0318021201413428,18,566,0.968197879858657,548
"26","Montana",0.483091787439614,200,414,0.516908212560387,214
"27","Nebraska",0.996466431095406,282,283,0.00353356890459366,1
"28","Nevada",0.238095238095238,5,21,0.761904761904762,16
"29","New Hampshire",0.848167539267016,162,191,0.151832460732984,29
"30","New Jersey",0.00295420974889217,2,677,0.997045790251108,675
"31","New Mexico",0.628140703517588,125,199,0.371859296482412,74
"32","New York",0.975376196990424,713,731,0.0246238030095759,18
"33","North Carolina",0.0198019801980198,6,303,0.98019801980198,297
"34","North Dakota",0.170731707317073,42,246,0.829268292682927,204
"35","Ohio",0.0573372206025267,59,1029,0.942662779397473,970
"36","Oklahoma",0.04,22,550,0.96,528
"37","Oregon",0.0248756218905473,5,201,0.975124378109453,196
"38","Pennsylvania",0.0655307994757536,50,763,0.934469200524246,713
"39","Rhode Island",0.916666666666667,55,60,0.0833333333333334,5
"40","South Carolina",0.111111111111111,11,99,0.888888888888889,88
"41","South Dakota",0.128342245989305,24,187,0.871657754010695,163
"42","Tennessee",0.916083916083916,131,143,0.083916083916084,12
"43","Texas",0.0489626556016598,59,1205,0.95103734439834,1146
"44","Utah",0.114457831325301,19,166,0.885542168674699,147
"45","Vermont",0.747747747747748,166,222,0.252252252252252,56
"46","Virginia",0.279816513761468,61,218,0.720183486238532,157
"47","Washington",0.0785498489425982,26,331,0.921450151057402,305
"48","West Virginia",0.947368421052632,54,57,0.0526315789473685,3
"49","Wisconsin",0.0132743362831858,6,452,0.986725663716814,446
"50","Wyoming",0.0833333333333333,5,60,0.916666666666667,55
