A Center For Creative Education,http://centerforcreativeeducation.org
Academy Del Sol  Inc.,NA
Academy Of Building Industries  Inc.,NA
Academy Of Excellence  Inc.,NA
Academy of Mathematics and Science INC. 2,http://www.amstucson.org
Academy of Mathematics and Science INC. 2,http://www.amstucson.org
Academy Of Mathematics And Science South  Inc.,NA
Academy Of Tucson  Inc.,http://academyoftucson.com
Academy With Community Partners  Inc,NA
Accelerated Elementary And Secondary Schools,NA
Accelerated Learning Center  Inc.,NA
Acclaim Charter School,NA
Acorn Montessori Charter School,http://www.acornmontessori.com
Agua Fria Union High School District,http://www.aguafria.org
Aguila Elementary District,NA
Ahwatukee Foothills Prep Early College High School  Inc.,http://afprephigh.org
Aibt Non-Profit Charter High School - Phoenix,http://www.rcbhighschool.com
Ajo Unified District,NA
Akimel O Otham Pee Posh Charter School  Inc.,http://www.bwcs.bia.edu
Akimel O'otham Pee Posh Charter School  Inc.,http://www.bwcs.k12.az.us
Alhambra Elementary District,http://www.alhambraesd.org
All Aboard Charter School,http://allaboardcharter.com
Allen-Cochran Enterprises  Inc.,NA
Allsport Academy,NA
Alpine Elementary District,NA
Altar Valley Elementary District,http://www.altarvalley.com
Ambassador Academy,NA
American Basic Schools Llc,http://www.burkebasicschool.com
American Charter Schools Foundation D.B.A. Alta Vista High S,NA
American Charter Schools Foundation D.B.A. Apache Trail High,NA
American Charter Schools Foundation D.B.A. Crestview College,NA
American Charter Schools Foundation D.B.A. Desert Hills High,NA
American Charter Schools Foundation D.B.A. Estrella High Sch,NA
American Charter Schools Foundation D.B.A. Peoria Accelerate,http://www.leonagroup.com/peoriaacchs/
American Charter Schools Foundation D.B.A. South Pointe High,NA
American Charter Schools Foundation D.B.A. South Ridge High,NA
American Charter Schools Foundation D.B.A. Sun Valley High S,NA
American Charter Schools Foundation D.B.A. West Phoenix High,NA
American Heritage Academy,http://www.americanheritageacademy.org/home
American Leadership Academy Inc.,http://www.alaschools.org/
American Virtual Academy,http://www.primavera-online-high-school.com
Amphitheater Unified District,http://www.amphi.com
Antelope Union High School District,NA
Anthem Preparatory Academy,NA
Apache Elementary District,NA
Apache Junction Unified District,http://www.ajusd.org
Aprender Tucson,NA
Archway Classical Academy Chandler,NA
Archway Classical Academy Cicero,NA
Archway Classical Academy Glendale,NA
Archway Classical Academy Lincoln,NA
