Aberdeen District,NA
Academy Charter School District #460,http://www.academycharter.net
American Falls Joint District,NA
American Heritage Charter District,NA
Another Choice Virtual Charter District,NA
Arbon Elementary District,NA
Avery School District,NA
Basin School District,NA
Bear Lake County District,NA
Blackfoot Charter Community Learning Center,NA
Blackfoot District,NA
Blaine County District,http://www.blaineschools.org/
Bliss Joint District,http://www.bliss234.org/
Boise Independent District,http://www.boiseschools.org/
Bonneville Joint District,NA
Boundary County District,NA
Bruneau-Grand View Joint School District,http://www.sd365.us/
Buhl Joint District,NA
Butte County Joint District,NA
Caldwell District,NA
Camas County District,NA
Cambridge Joint District,NA
Canyon-Owyhee School Service Agency (COSSA),NA
Cascade District,NA
Cassia County Joint District,NA
Castleford District,NA
Challis Joint District,NA
Chief Tahgee Elementary Academy District,NA
Clark County District,NA
Coeur D'alene Charter Academy District,NA
Coeur D'Alene District,NA
Coeur d'Alene Tribal School,http://www.tribalschool.org
Compass Charter School,NA
Cottonwood Joint District,NA
Council District,NA
Culdesac Joint District,NA
Dietrich District,NA
Emmett Independent District,NA
Falcon Ridge Charter School,NA
Filer District,NA
Firth District,NA
Forrester Academy Inc.,NA
Fremont County Joint District,NA
Fruitland District,NA
Garden Valley District,NA
Gem Innovation Schools Inc.,NA
Genesee Joint District,NA
Glenns Ferry Joint District,http://www.glennsferryschools.org
Gooding Joint District,NA
Grace Joint District,NA
Hagerman Joint District,NA
Hansen District,NA
Heritage Academy District,NA
Heritage Community Charter District,NA
Highland Joint District,NA
Homedale Joint District,NA
Horseshoe Bend School District,NA
Idaho Bureau Of Educational Services For The Deaf And The Bl,NA
Idaho College & Career Readiness Academy,NA
Idaho Falls District,NA
Idaho Science & Technology Charter,NA
Idaho Stem Academy Dba Bingham Academy Charter District,NA
Idaho Virtual Academy,NA
Idaho Virtual Education Partners Inc.,NA
Idaho Virtual High School Inc.,NA
Inspire Academics Inc.,NA
Isucceed Virtual High School,NA
Jefferson County Jt District,NA
Jerome Joint District,NA
Kamiah Joint District,NA
Kellogg Joint District,NA
Kendrick Joint District,NA
Kimberly District,NA
Kootenai Bridge Academy,NA
Kootenai District,NA
Ktec - Kootenai Technical Education Campus,NA
Kuna Joint District,NA
Lake Pend Oreille School District,NA
Lakeland District,NA
Lapwai District,NA
Legacy Charter School District,NA
Lewiston Independent District,NA
Liberty Charter,NA
Mackay Joint District,NA
Madison District,NA
Marsh Valley Joint District,NA
Marsing Joint District,NA
McCall-Donnelly Jt. School District,NA
Meadows Valley District,NA
Melba Joint District,http://www.melbaschools.org/
Middleton District,NA
Midvale District,NA
Minidoka County Joint District,NA
Monticello Montessori Charter,http://www.joinourschool.com
Moscow District,NA
Mountain Home District,http://www.mtnhomesd.org
Mountain View School District,NA
Mullan District,NA
Murtaugh Joint District,NA
Nampa School District,NA
New Plymouth District,NA
Nezperce Joint District,NA
North Gem District,NA
North Idaho Stem Charter Academy District,http://www.stemcharter.org
North Star Charter District,NA
North Valley Academy,NA
Notus District,NA
Oneida County District,NA
Orofino Joint District,NA
Palouse Prairie Educational Organization Inc.,NA
Parma District,NA
Payette Joint District,NA
Plummer-Worley Joint District,NA
Pocatello District,http://sd25.us
Post Falls District,NA
Potlatch District,NA
Prairie Elementary District,http://www.prairie191k8.org/
Preston Joint District,NA
Richfield District,NA
Ririe Joint District,NA
Rockland District,NA
Rolling Hills Charter School,NA
Sage International School Of Boise,NA
Salmon District,NA
Salmon River Joint School District,NA
Sandpoint Charter School Inc.,NA
Shelley Joint District,NA
Shoshone Joint District,NA
Shoshone-Bannock School District No 512,http://www.sbd537.org
Snake River District,NA
Soda Springs Joint District,NA
South Lemhi District,NA
St Maries Joint District,NA
Sugar-Salem Joint District,NA
Swan Valley Elementary District,NA
Syringa Mountain Charter District,NA
Taylors Crossing Charter School,NA
Teton County District,NA
The Pocatello Community Charter School Inc.,NA
The Village Charter School District,NA
Three Creek Jt Elem District,NA
Troy School District,NA
Twin Falls District,NA
Upper Carmen Public Charter District,NA
Valley District,NA
Vallivue School District,NA
Victory Charter School,NA
Vision Charter School,NA
Wallace District,NA
Weiser District,NA
Wendell District,NA
West Ada School District,http://www.meridianschools.org
West Bonner County District,http://www.sd83.k12.id.us/
West Jefferson District,NA
West Side Joint District,NA
White Pine Charter School,NA
Whitepine Jt School District,NA
Wilder District,NA
Xavier Charter School,NA
